title,date,passage,scripture-digest,content,application,memory-verse,prayer
A NEW RESOLUTION,1/1/18," In fact, though by this time you ought to be teachers, you need someone to teach you the elementary truths of God’s word all over again. You need milk, not solid food! Anyone who lives on milk, being still an infant, is not acquainted with the teaching about righteousness. (Hebrews 5:12-13)",Genesis 1,"It’s the New Year! Glory Alleluia! We bless and thank God for allowing us to see the New Year. Many wanted to see this year but couldn’t, but God allowed us to experience the New Year. Even if you think you have nothing to be thankful for, thank Him for allowing you to cross over into the New Year. You are alive and as long as there is life, there is hope.
Most people see the new year as an opportunity to make resolutions and commit to goals that will better their lives. For example, some may commit to ensuring that they graduate from their academic program this year, change jobs, get married, lose weight, etc. Perhaps you are even one of those people who will make such resolutions this new year. Can I challenge you to make different resolutions this year instead? This year, challenge yourself to make a new spiritual commitment. Commit to growing in your faith, drawing closer to God, and perhaps even foster a more robust prayer life. The Bible says that we should grow from being babes in Christ. Every infant grows into an adult as part of the normal course of growing up. As Christians, it is the same case. We should grow spiritually every year. Use this new year as an opportunity to evaluate your spiritual life and identify an area that needs growth.",Resolve to engage in spiritual exercises that will draw you closer to God this year.,"“ Therefore I tell you, whatever you ask for in prayer, believe that you have received it, and it will be yours.” (Mark 11:24)","Lord, help me to make spiritual resolutions that will honor You this year. Lead me as I make them."
A NEW RESOLUTION,1/2/18," In fact, though by this time you ought to be teachers, you need someone to teach you the elementary truths of God’s word all over again. You need milk, not solid food! Anyone who lives on milk, being still an infant, is not acquainted with the teaching about righteousness. (Hebrews 5:12-13)",Genesis 2,"It’s the New Year! Glory Alleluia! We bless and thank God for allowing us to see the New Year. Many wanted to see this year but couldn’t, but God allowed us to experience the New Year. Even if you think you have nothing to be thankful for, thank Him for allowing you to cross over into the New Year. You are alive and as long as there is life, there is hope.
Most people see the new year as an opportunity to make resolutions and commit to goals that will better their lives. For example, some may commit to ensuring that they graduate from their academic program this year, change jobs, get married, lose weight, etc. Perhaps you are even one of those people who will make such resolutions this new year. Can I challenge you to make different resolutions this year instead? This year, challenge yourself to make a new spiritual commitment. Commit to growing in your faith, drawing closer to God, and perhaps even foster a more robust prayer life. The Bible says that we should grow from being babes in Christ. Every infant grows into an adult as part of the normal course of growing up. As Christians, it is the same case. We should grow spiritually every year. Use this new year as an opportunity to evaluate your spiritual life and identify an area that needs growth.",Resolve to engage in spiritual exercises that will draw you closer to God this year.,"“ Therefore I tell you, whatever you ask for in prayer, believe that you have received it, and it will be yours.” (Mark 11:24)","Lord, help me to make spiritual resolutions that will honor You this year. Lead me as I make them."
A NEW RESOLUTION,1/3/18," In fact, though by this time you ought to be teachers, you need someone to teach you the elementary truths of God’s word all over again. You need milk, not solid food! Anyone who lives on milk, being still an infant, is not acquainted with the teaching about righteousness. (Hebrews 5:12-13)",Genesis 3,"It’s the New Year! Glory Alleluia! We bless and thank God for allowing us to see the New Year. Many wanted to see this year but couldn’t, but God allowed us to experience the New Year. Even if you think you have nothing to be thankful for, thank Him for allowing you to cross over into the New Year. You are alive and as long as there is life, there is hope.
Most people see the new year as an opportunity to make resolutions and commit to goals that will better their lives. For example, some may commit to ensuring that they graduate from their academic program this year, change jobs, get married, lose weight, etc. Perhaps you are even one of those people who will make such resolutions this new year. Can I challenge you to make different resolutions this year instead? This year, challenge yourself to make a new spiritual commitment. Commit to growing in your faith, drawing closer to God, and perhaps even foster a more robust prayer life. The Bible says that we should grow from being babes in Christ. Every infant grows into an adult as part of the normal course of growing up. As Christians, it is the same case. We should grow spiritually every year. Use this new year as an opportunity to evaluate your spiritual life and identify an area that needs growth.",Resolve to engage in spiritual exercises that will draw you closer to God this year.,"“ Therefore I tell you, whatever you ask for in prayer, believe that you have received it, and it will be yours.” (Mark 11:24)","Lord, help me to make spiritual resolutions that will honor You this year. Lead me as I make them."
A NEW RESOLUTION,1/4/18," In fact, though by this time you ought to be teachers, you need someone to teach you the elementary truths of God’s word all over again. You need milk, not solid food! Anyone who lives on milk, being still an infant, is not acquainted with the teaching about righteousness. (Hebrews 5:12-13)",Genesis 4,"It’s the New Year! Glory Alleluia! We bless and thank God for allowing us to see the New Year. Many wanted to see this year but couldn’t, but God allowed us to experience the New Year. Even if you think you have nothing to be thankful for, thank Him for allowing you to cross over into the New Year. You are alive and as long as there is life, there is hope.
Most people see the new year as an opportunity to make resolutions and commit to goals that will better their lives. For example, some may commit to ensuring that they graduate from their academic program this year, change jobs, get married, lose weight, etc. Perhaps you are even one of those people who will make such resolutions this new year. Can I challenge you to make different resolutions this year instead? This year, challenge yourself to make a new spiritual commitment. Commit to growing in your faith, drawing closer to God, and perhaps even foster a more robust prayer life. The Bible says that we should grow from being babes in Christ. Every infant grows into an adult as part of the normal course of growing up. As Christians, it is the same case. We should grow spiritually every year. Use this new year as an opportunity to evaluate your spiritual life and identify an area that needs growth.",Resolve to engage in spiritual exercises that will draw you closer to God this year.,"“ Therefore I tell you, whatever you ask for in prayer, believe that you have received it, and it will be yours.” (Mark 11:24)","Lord, help me to make spiritual resolutions that will honor You this year. Lead me as I make them."
A NEW RESOLUTION,1/5/18," In fact, though by this time you ought to be teachers, you need someone to teach you the elementary truths of God’s word all over again. You need milk, not solid food! Anyone who lives on milk, being still an infant, is not acquainted with the teaching about righteousness. (Hebrews 5:12-13)",Genesis 5,"It’s the New Year! Glory Alleluia! We bless and thank God for allowing us to see the New Year. Many wanted to see this year but couldn’t, but God allowed us to experience the New Year. Even if you think you have nothing to be thankful for, thank Him for allowing you to cross over into the New Year. You are alive and as long as there is life, there is hope.
Most people see the new year as an opportunity to make resolutions and commit to goals that will better their lives. For example, some may commit to ensuring that they graduate from their academic program this year, change jobs, get married, lose weight, etc. Perhaps you are even one of those people who will make such resolutions this new year. Can I challenge you to make different resolutions this year instead? This year, challenge yourself to make a new spiritual commitment. Commit to growing in your faith, drawing closer to God, and perhaps even foster a more robust prayer life. The Bible says that we should grow from being babes in Christ. Every infant grows into an adult as part of the normal course of growing up. As Christians, it is the same case. We should grow spiritually every year. Use this new year as an opportunity to evaluate your spiritual life and identify an area that needs growth.",Resolve to engage in spiritual exercises that will draw you closer to God this year.,"“ Therefore I tell you, whatever you ask for in prayer, believe that you have received it, and it will be yours.” (Mark 11:24)","Lord, help me to make spiritual resolutions that will honor You this year. Lead me as I make them."
A NEW RESOLUTION,1/6/18," In fact, though by this time you ought to be teachers, you need someone to teach you the elementary truths of God’s word all over again. You need milk, not solid food! Anyone who lives on milk, being still an infant, is not acquainted with the teaching about righteousness. (Hebrews 5:12-13)",Genesis 6,"It’s the New Year! Glory Alleluia! We bless and thank God for allowing us to see the New Year. Many wanted to see this year but couldn’t, but God allowed us to experience the New Year. Even if you think you have nothing to be thankful for, thank Him for allowing you to cross over into the New Year. You are alive and as long as there is life, there is hope.
Most people see the new year as an opportunity to make resolutions and commit to goals that will better their lives. For example, some may commit to ensuring that they graduate from their academic program this year, change jobs, get married, lose weight, etc. Perhaps you are even one of those people who will make such resolutions this new year. Can I challenge you to make different resolutions this year instead? This year, challenge yourself to make a new spiritual commitment. Commit to growing in your faith, drawing closer to God, and perhaps even foster a more robust prayer life. The Bible says that we should grow from being babes in Christ. Every infant grows into an adult as part of the normal course of growing up. As Christians, it is the same case. We should grow spiritually every year. Use this new year as an opportunity to evaluate your spiritual life and identify an area that needs growth.",Resolve to engage in spiritual exercises that will draw you closer to God this year.,"“ Therefore I tell you, whatever you ask for in prayer, believe that you have received it, and it will be yours.” (Mark 11:24)","Lord, help me to make spiritual resolutions that will honor You this year. Lead me as I make them."
A NEW RESOLUTION,1/7/18," In fact, though by this time you ought to be teachers, you need someone to teach you the elementary truths of God’s word all over again. You need milk, not solid food! Anyone who lives on milk, being still an infant, is not acquainted with the teaching about righteousness. (Hebrews 5:12-13)",Genesis 7,"It’s the New Year! Glory Alleluia! We bless and thank God for allowing us to see the New Year. Many wanted to see this year but couldn’t, but God allowed us to experience the New Year. Even if you think you have nothing to be thankful for, thank Him for allowing you to cross over into the New Year. You are alive and as long as there is life, there is hope.
Most people see the new year as an opportunity to make resolutions and commit to goals that will better their lives. For example, some may commit to ensuring that they graduate from their academic program this year, change jobs, get married, lose weight, etc. Perhaps you are even one of those people who will make such resolutions this new year. Can I challenge you to make different resolutions this year instead? This year, challenge yourself to make a new spiritual commitment. Commit to growing in your faith, drawing closer to God, and perhaps even foster a more robust prayer life. The Bible says that we should grow from being babes in Christ. Every infant grows into an adult as part of the normal course of growing up. As Christians, it is the same case. We should grow spiritually every year. Use this new year as an opportunity to evaluate your spiritual life and identify an area that needs growth.",Resolve to engage in spiritual exercises that will draw you closer to God this year.,"“ Therefore I tell you, whatever you ask for in prayer, believe that you have received it, and it will be yours.” (Mark 11:24)","Lord, help me to make spiritual resolutions that will honor You this year. Lead me as I make them."
A NEW RESOLUTION,1/8/18," In fact, though by this time you ought to be teachers, you need someone to teach you the elementary truths of God’s word all over again. You need milk, not solid food! Anyone who lives on milk, being still an infant, is not acquainted with the teaching about righteousness. (Hebrews 5:12-13)",Genesis 8,"It’s the New Year! Glory Alleluia! We bless and thank God for allowing us to see the New Year. Many wanted to see this year but couldn’t, but God allowed us to experience the New Year. Even if you think you have nothing to be thankful for, thank Him for allowing you to cross over into the New Year. You are alive and as long as there is life, there is hope.
Most people see the new year as an opportunity to make resolutions and commit to goals that will better their lives. For example, some may commit to ensuring that they graduate from their academic program this year, change jobs, get married, lose weight, etc. Perhaps you are even one of those people who will make such resolutions this new year. Can I challenge you to make different resolutions this year instead? This year, challenge yourself to make a new spiritual commitment. Commit to growing in your faith, drawing closer to God, and perhaps even foster a more robust prayer life. The Bible says that we should grow from being babes in Christ. Every infant grows into an adult as part of the normal course of growing up. As Christians, it is the same case. We should grow spiritually every year. Use this new year as an opportunity to evaluate your spiritual life and identify an area that needs growth.",Resolve to engage in spiritual exercises that will draw you closer to God this year.,"“ Therefore I tell you, whatever you ask for in prayer, believe that you have received it, and it will be yours.” (Mark 11:24)","Lord, help me to make spiritual resolutions that will honor You this year. Lead me as I make them."
A NEW RESOLUTION,1/9/18," In fact, though by this time you ought to be teachers, you need someone to teach you the elementary truths of God’s word all over again. You need milk, not solid food! Anyone who lives on milk, being still an infant, is not acquainted with the teaching about righteousness. (Hebrews 5:12-13)",Genesis 9,"It’s the New Year! Glory Alleluia! We bless and thank God for allowing us to see the New Year. Many wanted to see this year but couldn’t, but God allowed us to experience the New Year. Even if you think you have nothing to be thankful for, thank Him for allowing you to cross over into the New Year. You are alive and as long as there is life, there is hope.
Most people see the new year as an opportunity to make resolutions and commit to goals that will better their lives. For example, some may commit to ensuring that they graduate from their academic program this year, change jobs, get married, lose weight, etc. Perhaps you are even one of those people who will make such resolutions this new year. Can I challenge you to make different resolutions this year instead? This year, challenge yourself to make a new spiritual commitment. Commit to growing in your faith, drawing closer to God, and perhaps even foster a more robust prayer life. The Bible says that we should grow from being babes in Christ. Every infant grows into an adult as part of the normal course of growing up. As Christians, it is the same case. We should grow spiritually every year. Use this new year as an opportunity to evaluate your spiritual life and identify an area that needs growth.",Resolve to engage in spiritual exercises that will draw you closer to God this year.,"“ Therefore I tell you, whatever you ask for in prayer, believe that you have received it, and it will be yours.” (Mark 11:24)","Lord, help me to make spiritual resolutions that will honor You this year. Lead me as I make them."
A NEW RESOLUTION,1/10/18," In fact, though by this time you ought to be teachers, you need someone to teach you the elementary truths of God’s word all over again. You need milk, not solid food! Anyone who lives on milk, being still an infant, is not acquainted with the teaching about righteousness. (Hebrews 5:12-13)",Genesis 10,"It’s the New Year! Glory Alleluia! We bless and thank God for allowing us to see the New Year. Many wanted to see this year but couldn’t, but God allowed us to experience the New Year. Even if you think you have nothing to be thankful for, thank Him for allowing you to cross over into the New Year. You are alive and as long as there is life, there is hope.
Most people see the new year as an opportunity to make resolutions and commit to goals that will better their lives. For example, some may commit to ensuring that they graduate from their academic program this year, change jobs, get married, lose weight, etc. Perhaps you are even one of those people who will make such resolutions this new year. Can I challenge you to make different resolutions this year instead? This year, challenge yourself to make a new spiritual commitment. Commit to growing in your faith, drawing closer to God, and perhaps even foster a more robust prayer life. The Bible says that we should grow from being babes in Christ. Every infant grows into an adult as part of the normal course of growing up. As Christians, it is the same case. We should grow spiritually every year. Use this new year as an opportunity to evaluate your spiritual life and identify an area that needs growth.",Resolve to engage in spiritual exercises that will draw you closer to God this year.,"“ Therefore I tell you, whatever you ask for in prayer, believe that you have received it, and it will be yours.” (Mark 11:24)","Lord, help me to make spiritual resolutions that will honor You this year. Lead me as I make them."
